STATE,ELECTORAL VOTE BIDEN,ELECTORAL VOTE TRUMP,POPULAR VOTE BIDEN,POPULAR VOTE TRUMP,POPULAR VOTE OTROS,POPULAR VOTE TOTAL,diff,marginal
AZ,11.0,0.0,1672143.0,1661686.0,53497.0,3387326.0,0.0031366335825862694,1
FL,0.0,29.0,5297045.0,5668731.0,101680.0,11067456.0,0.03389509324283115,1
GA,16.0,0.0,2473633.0,2461854.0,64473.0,4999960.0,0.0023865932581729017,1
IA,0.0,6.0,759061.0,897672.0,34138.0,1690871.0,0.08366526169274108,1
ME*,3.0,1.0,435072.0,360737.0,23652.0,819461.0,0.09340809164007946,1
MI,16.0,0.0,2804040.0,2649852.0,85410.0,5539302.0,0.028271186888189206,1
MN,10.0,0.0,1717077.0,1484065.0,76029.0,3277171.0,0.07279027297133335,1
NV,6.0,0.0,703486.0,669890.0,32000.0,1405376.0,0.02446234680087609,1
NH,4.0,0.0,424937.0,365660.0,15608.0,806205.0,0.07497751699032504,1
NC,0.0,15.0,2684292.0,2758775.0,81737.0,5524804.0,0.013684013075716319,1
OH,0.0,18.0,2679165.0,3154834.0,88203.0,5922202.0,0.08153395295405433,1
PA,20.0,0.0,3458229.0,3377674.0,101073.0,6936976.0,0.011784105186981149,1
TX,0.0,38.0,5259126.0,5890347.0,165583.0,11315056.0,0.05661442473559064,1
WI,10.0,0.0,1630866.0,1610184.0,56991.0,3298041.0,0.006381265330679872,1
